animal	treatment	genetics	tank	dose	TE	Binary							
749	3	1	21	2	5	1							
750	3	1	21	2	5	1							
751	3	1	21	2	5	1							
752	3	1	21	2	5	1							
753	3	1	21	2	5	1							
754	3	1	21	2	5	1							
755	3	1	21	2	6	0							
756	3	1	21	2	6	0							
757	3	1	21	2	6	0							
758	3	1	21	2	6	0							
759	3	1	21	2	6	0							
760	3	1	21	2	6	0							
761	3	1	21	2	6	0							
762	3	1	21	2	6	0							
763	3	1	21	2	6	0							
764	3	1	21	2	6	0							
765	3	1	21	2	6	0							
766	3	1	21	2	6	0							
767	3	1	21	2	6	0							
768	3	1	21	2	6	0							
769	3	1	22	2	3	1							
770	3	1	22	2	3	1							
771	3	1	22	2	3	1							
772	3	1	22	2	3	1							
773	3	1	22	2	3	1							
774	3	1	22	2	3	1							
775	3	1	22	2	3	1							
776	3	1	22	2	3	1							
777	3	1	22	2	3	1							
778	3	1	22	2	3	1							
779	3	1	22	2	3	1							
780	3	1	22	2	3	1							
781	3	1	22	2	3	1							
782	3	1	22	2	3	1							
783	3	1	22	2	3	1							
784	3	1	22	2	3	1							
785	3	1	22	2	3	1							
786	3	1	22	2	3	1							
787	3	1	22	2	3	1							
788	3	1	22	2	3	1							
789	3	1	22	2	3	1							
790	3	1	22	2	3	1							
791	3	1	22	2	4	1							
792	3	1	22	2	4	1							
793	3	1	22	2	4	1							
794	3	1	22	2	4	1							
795	3	1	22	2	4	1							
796	3	1	22	2	4	1							
797	3	1	22	2	4	1							
798	3	1	22	2	4	1							
799	3	1	22	2	4	1							
800	3	1	22	2	4	1							
801	3	1	22	2	4	1							
802	3	1	22	2	4	1							
803	3	1	22	2	4	1							
804	3	1	22	2	4	1							
805	3	1	22	2	4	1							
806	3	1	22	2	4	1							
807	3	1	22	2	5	1							
808	3	1	22	2	6	0							
809	3	1	22	2	6	0							
810	3	1	22	2	6	0							
811	3	1	22	2	6	0							
812	3	1	22	2	6	0							
813	3	1	22	2	6	0							
814	3	1	22	2	6	0							
815	3	1	22	2	6	0							
816	3	1	22	2	6	0							
817	3	2	23	2	3	1							
818	3	2	23	2	3	1							
819	3	2	23	2	3	1							
820	3	2	23	2	3	1							
821	3	2	23	2	3	1							
822	3	2	23	2	3	1							
823	3	2	23	2	3	1							
824	3	2	23	2	3	1							
825	3	2	23	2	3	1							
826	3	2	23	2	3	1							
827	3	2	23	2	4	1							
828	3	2	23	2	4	1							
829	3	2	23	2	4	1							
830	3	2	23	2	4	1							
831	3	2	23	2	4	1							
832	3	2	23	2	4	1							
833	3	2	23	2	4	1							
834	3	2	23	2	4	1							
835	3	2	23	2	4	1							
836	3	2	23	2	4	1							
837	3	2	23	2	4	1							
838	3	2	23	2	4	1							
839	3	2	23	2	4	1							
840	3	2	23	2	5	1							
841	3	2	23	2	5	1							
842	3	2	23	2	5	1							
843	3	2	23	2	5	1							
844	3	2	23	2	5	1							
845	3	2	23	2	5	1							
846	3	2	23	2	5	1							
847	3	2	23	2	5	1							
848	3	2	23	2	5	1							
849	3	2	23	2	6	0							
850	3	2	23	2	6	0							
851	3	2	23	2	6	0							
852	3	2	23	2	6	0							
853	3	2	23	2	6	0							
854	3	2	23	2	6	0							
855	3	2	23	2	6	0							
856	3	2	23	2	6	0							
857	3	2	23	2	6	0							
858	3	2	23	2	6	0							
859	3	2	23	2	6	0							
860	3	2	23	2	6	0							
861	3	2	23	2	6	0							
862	3	2	23	2	6	0							
863	3	2	23	2	6	0							
864	3	2	23	2	6	0							
